taxon,recipient_post_fmt,donor_pre_fmt,taxon_id,experiment_id
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium,0.00939021562717366,0.0017166836215666327,96,goyal_028_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger,0.03211221887317413,0.019455747711088503,97,goyal_028_d7
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella,0.00811500115928588,0.004450661241098677,122,goyal_028_d7
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,0.005827118746414661,0.017374005305039786,1,goyal_029_d7
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,0.11778026025784245,0.1926392572944297,8,goyal_029_d7
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,0.11234564173787023,0.11618037135278514,10,goyal_029_d7
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,7.246158026629631e-4,0.00636604774535809,23,goyal_029_d7
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ,9.057697533287038e-5,1.326259946949602e-4,28,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium,0.005374233869750309,0.002652519893899204,38,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter,0.02617674587119954,0.04588859416445623,41,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum,0.010235198212614354,0.006896551724137931,42,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes,0.006914042450409106,0.01856763925729443,43,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus,0.01195616074393889,0.008222811671087533,44,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A,0.05190060686573473,0.05457559681697613,46,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81,0.018205972041906947,0.003050397877984085,48,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea,0.0043476948159777784,0.003116710875331565,52,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A,0.020470396425228708,0.011472148541114058,53,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster,0.01017481356239244,0.010875331564986738,55,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter,0.014401739077926391,0.01293103448275862,61,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira,0.010627698439056792,0.013262599469496022,65,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter,0.011231544941275928,0.007692307692307693,67,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia,0.01893058784456991,0.0065649867374005305,68,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_A,0.007215965701518674,0.005702917771883289,70,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502,0.005615772470637964,0.0027188328912466845,76,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter,0.0032003864617614203,0.0027188328912466845,90,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4,0.004106156215090124,0.03660477453580902,91,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium,0.08417620240934755,0.0480106100795756,96,goyal_029_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger,0.013224238398599077,0.03428381962864721,97,goyal_029_d7
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium,0.004257117840644908,0.01830238726790451,115,goyal_029_d7
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Mesosutterella,0.030162132785845838,0.02526525198938992,121,goyal_029_d7
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella,2.0624631703005302e-4,7.974816369359916e-4,5,goyal_031_d7
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,0.012286387743076017,0.00621196222455404,19,goyal_031_d7
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides,0.0017972893341190335,0.0024763903462749213,22,goyal_031_d7
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,0.00220978196817914,2.5183630640083945e-4,23,goyal_031_d7
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Faecalibacillus,0.045580436063641726,0.08793284365162643,26,goyal_031_d7
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Merdibacter,0.0010017678255745434,7.974816369359916e-4,32,goyal_031_d7
d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales_A;f__Turicibacteraceae;g__Turicibacter,0.003653506187389511,0.015739769150052464,33,goyal_031_d7
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Granulicatella,4.714201532115498e-4,5.456453305351522e-4,34,goyal_031_d7
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,0.016705951679434297,0.03227701993704092,36,goyal_031_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum,0.0027106658809664115,0.009779643231899265,42,goyal_031_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A,0.002416028285209193,0.0035676810073452256,51,goyal_031_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas,6.776664702416029e-4,0.010031479538300105,59,goyal_031_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter,0.005774896876841485,0.0045750262329485834,80,goyal_031_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1417,0.0020329994107248085,0.011962224554039873,86,goyal_031_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1071,0.0010312315851502651,0.006673662119622246,87,goyal_031_d7
d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__OEMS01,0.002416028285209193,0.011332633788037776,112,goyal_031_d7
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium,0.008131997642899234,0.0037355718782791187,115,goyal_031_d7
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium,0.08758235239017079,0.02389055722389056,1,goyal_032_d7
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,0.007743466450182659,0.0017017017017017016,2,goyal_032_d7
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia,0.00243544509320261,0.007540874207540875,3,goyal_032_d7
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola,0.022855715490055266,0.05028361695028362,10,goyal_032_d7
